,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,140,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,15,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,141,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,16,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,142,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,17,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,143,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,18,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,4,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,144,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,19,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,145,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,20,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,146,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,21,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,22.488,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,1,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,147,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,22,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,10,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,148,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,23,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,149,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,24,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,1.003,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,4,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,150,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,25,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,10,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,151,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,1,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,4,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,152,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,2,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,5.929,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,8,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,153,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,3,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,154,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,4,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,1,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,155,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,5,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.487,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,156,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,6,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.103,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,10,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,157,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,7,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,158,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,8,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,1,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,159,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,9,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,160,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,10,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.118,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,161,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,11,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.068,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,4,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,162,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,12,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,1,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,163,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,13,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,164,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,14,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,165,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,15,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.108,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,166,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,16,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,167,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,17,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,168,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,18,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.099,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,1,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,169,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,19,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,1,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,170,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,20,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,171,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,21,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,6.962,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,10,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,172,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,22,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,173,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,23,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,3.456,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,8,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,174,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,24,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,7,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,175,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,25,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,10,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,176,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,1,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,1,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,177,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,2,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,10,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,178,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,3,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,10,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,179,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,4,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.084,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,4,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,180,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,5,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.279,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,181,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,6,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,3.202,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,10,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,182,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,7,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,1,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,183,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,8,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,184,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,9,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,185,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,10,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,186,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,11,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,187,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,12,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,188,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,13,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,189,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,14,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,190,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,15,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,191,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,16,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,192,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,17,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,193,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,18,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,1,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,194,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,19,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,195,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,20,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,196,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,21,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,22.854,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,2,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,197,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,22,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,198,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,23,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.152,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,199,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,24,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.378,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,10,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,200,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,25,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,10,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,201,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,1,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,5,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,202,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,2,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.118,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,10,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,203,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,3,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,10,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,204,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,4,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,1,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,205,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,5,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.817,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,206,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,6,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.102,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,207,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,7,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,1,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,208,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,8,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,209,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,9,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,210,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,10,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.564,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,211,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,11,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.119,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,212,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,12,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.229,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,2,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,213,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,13,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.079,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,214,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,14,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.216,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,215,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,15,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.076,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,216,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,16,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.263,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,217,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,17,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,218,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,18,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.231,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,1,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,219,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,19,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.476,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,1,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,220,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,20,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.094,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,1,,,,,,,,,,,,,,,,,,,,,,,,,,
